ACTIE,TYPE,TAFEL,DATUM,MEDEWERKER,DEBIT,CREDIT,AANTAL,BTW,BOEK,PRODUCT,TRANSACTIE,BESTELID,DAY,AFGEREKEND
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/01 12:48:55,Manager,9.00,,1,9,8010,Focaccia FILLED 9,,KgHn9lRTtKW7lXkZtvRAVN,01-02-2025,verkoop
item,gecorrigeerd,Tafel Panca Centro Indoor,2025/02/01 12:58:11,Manager,-7.00,,-1,9,8010,SUGO 300gr,,KgHn9lRTtKW7lXkZtvRAVN,01-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/01 12:58:11,Manager,12.00,,2,9,8010,SUGO Speciale 150g,,KgHn9lRTtKW7lXkZtvRAVN,01-02-2025,verkoop
transactie,,Tafel Panca Centro Indoor,2025/02/01 13:07:55,Manager,,44.50,,,,,PIN,KgHn9lRTtKW7lXkZtvRAVN,01-02-2025,
item,toegevoegd,Tafel Bar Indoor,2025/02/01 12:58:51,Manager,3.50,,1,9,8010,Cappuccino/Latte Macchiato,,jZKozyd3XDklESGion968N,01-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/01 12:58:51,Manager,3.00,,1,9,8010,Can,,jZKozyd3XDklESGion968N,01-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/01 12:58:51,Manager,12.00,,1,9,8010,Focaccia FILLED 12,,jZKozyd3XDklESGion968N,01-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/01 12:58:51,Manager,18.50,,1,9,8010,PASTA 18.50,,jZKozyd3XDklESGion968N,01-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/01 13:25:46,Manager,5.00,,1,9,8010,Torta 5,,jZKozyd3XDklESGion968N,01-02-2025,verkoop
transactie,,Tafel Bar Indoor,2025/02/01 13:26:30,Manager,,42.00,,,,,PIN,jZKozyd3XDklESGion968N,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 13:02:45,Manager,5.00,,2,9,8010,Pasta Fresca 100gr,,Jv5mjL596K6K4329VESI,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 13:08:45,Manager,5.00,,2,9,8010,Pasta Fresca 100gr,,Jv5mjL596K6K4329VESI,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 13:08:45,Manager,18.00,,3,9,8010,SUGO Speciale 150g,,Jv5mjL596K6K4329VESI,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 13:08:45,Manager,4.00,,1,9,8010,SUGO Normale 150g,,Jv5mjL596K6K4329VESI,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 13:11:20,Manager,9.00,,2,9,8010,slice MARGHERITA,,Jv5mjL596K6K4329VESI,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 13:11:42,Manager,,41.00,,,,,PIN,Jv5mjL596K6K4329VESI,01-02-2025,
item,toegevoegd,Tafel Counter 2,2025/02/01 13:10:07,Manager,45.00,,3,9,8010,PASTA 15,,aQdtzI7qWLMiTGEOwOG7HT,01-02-2025,verkoop
item,gecorrigeerd,Tafel Counter 2,2025/02/01 13:12:57,Manager,-45.00,,-3,9,8010,PASTA 15,,aQdtzI7qWLMiTGEOwOG7HT,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 2,2025/02/01 13:12:57,Manager,7.50,,3,9,8010,Pasta Fresca 100gr,,aQdtzI7qWLMiTGEOwOG7HT,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 2,2025/02/01 13:12:57,Manager,1.30,,1,9,8010,Pasta Fresca 50gr,,aQdtzI7qWLMiTGEOwOG7HT,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 2,2025/02/01 13:12:57,Manager,4.50,,1,9,8010,slice MARGHERITA,,aQdtzI7qWLMiTGEOwOG7HT,01-02-2025,verkoop
transactie,,Tafel Counter 2,2025/02/01 13:12:57,Manager,,13.30,,,,,PIN,aQdtzI7qWLMiTGEOwOG7HT,01-02-2025,
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 13:40:26,Manager,5.00,,1,9,8010,sweet no price,,nOb5ilhUz3ioLJB64Yt6D,01-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 13:40:26,Manager,7.00,,2,9,8010,Cappuccino/Latte Macchiato,,nOb5ilhUz3ioLJB64Yt6D,01-02-2025,verkoop
transactie,,Tafel Panca 1 Indoor,2025/02/01 13:50:58,Manager,,12.00,,,,,PIN,nOb5ilhUz3ioLJB64Yt6D,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 14:03:38,Manager,10.50,,3,9,8010,slice FOCACCIA,,ykvnLcyBeyaqfs8fBVOc,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 14:04:17,Manager,,10.50,,,,,PIN,ykvnLcyBeyaqfs8fBVOc,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 14:05:41,Manager,7.00,,1,9,8010,Focaccia FILLED 7,,CcWswkJy8riSVu7qmhjmW,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 14:05:42,Manager,,7.00,,,,,PIN,CcWswkJy8riSVu7qmhjmW,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 14:20:51,Manager,9.00,,1,9,8010,Focaccia FILLED 9,,vJqfciop755RrwQ1PjpPx,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 14:21:16,Manager,,9.00,,,,,PIN,vJqfciop755RrwQ1PjpPx,01-02-2025,
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 14:22:09,Manager,15.00,,1,9,8010,PASTA 15,,yUKlieCVZ3sZ3RSRfeC4t4,01-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 14:22:09,Manager,3.00,,1,9,8010,Can,,yUKlieCVZ3sZ3RSRfeC4t4,01-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 14:28:44,Manager,4.50,,1,9,8010,Torta 4.5,,yUKlieCVZ3sZ3RSRfeC4t4,01-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 14:28:44,Manager,2.30,,1,9,8010,Coffee/Espresso,,yUKlieCVZ3sZ3RSRfeC4t4,01-02-2025,verkoop
transactie,,Tafel Panca 1 Indoor,2025/02/01 14:40:20,Manager,,24.80,,,,,PIN,yUKlieCVZ3sZ3RSRfeC4t4,01-02-2025,
item,toegevoegd,Directe verkoop,2025/02/01 15:39:38,Manager,14.00,,4,9,8010,slice FOCACCIA,,BJSxYkA9Fe81iJwMEHdhvD,01-02-2025,verkoop
transactie,,Directe verkoop,2025/02/01 15:39:38,Manager,,14.00,,,,,PIN,BJSxYkA9Fe81iJwMEHdhvD,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 16:38:31,Manager,7.50,,3,9,8010,Pasta Fresca 100gr,,aVnZ1Y8bMHqAVwaQDPC2nC,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 16:38:31,Manager,21.60,,1,21,8011,LIMONCELLO,,aVnZ1Y8bMHqAVwaQDPC2nC,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 16:43:11,Manager,,29.10,,,,,PIN,aVnZ1Y8bMHqAVwaQDPC2nC,01-02-2025,
item,toegevoegd,Tafel Counter 2,2025/02/01 16:43:08,Manager,4.50,,1,9,8010,Veggie S 4.5,,i4i4pissoaoeOJvJPjovzt,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 2,2025/02/01 16:43:08,Manager,5.00,,10,9,8010,sweet no price,,i4i4pissoaoeOJvJPjovzt,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 2,2025/02/01 16:43:08,Manager,10.50,,3,9,8010,slice FOCACCIA,,i4i4pissoaoeOJvJPjovzt,01-02-2025,verkoop
transactie,,Tafel Counter 2,2025/02/01 16:43:09,Manager,,20.00,,,,,PIN,i4i4pissoaoeOJvJPjovzt,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 16:46:19,Manager,7.50,,3,9,8010,Pasta Fresca 100gr,,93n15SsBXm6nX3eUXszsQf,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 16:46:19,Manager,7.00,,1,9,8010,SUGO 300gr,,93n15SsBXm6nX3eUXszsQf,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 16:46:57,Manager,,14.50,,,,,PIN,93n15SsBXm6nX3eUXszsQf,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 16:48:05,Manager,30.00,,5,9,8010,Veggie M 6,,hEUYr19xoGGAhEs4Kdi8W,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 16:48:05,Manager,9.00,,2,9,8010,Veggie S 4.5,,hEUYr19xoGGAhEs4Kdi8W,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 16:48:05,Manager,3.50,,1,9,8010,Cappuccino/Latte Macchiato,,hEUYr19xoGGAhEs4Kdi8W,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 16:48:05,Manager,0.50,,1,9,8010,Milk SPECIAL,,hEUYr19xoGGAhEs4Kdi8W,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 16:48:05,Manager,4.00,,1,9,8010,Double espresso,,hEUYr19xoGGAhEs4Kdi8W,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 16:48:05,Manager,16.50,,1,9,8010,MEAT Food Second,,hEUYr19xoGGAhEs4Kdi8W,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 16:48:05,Manager,18.00,,1,9,8010,second no price,,hEUYr19xoGGAhEs4Kdi8W,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 16:48:05,Manager,4.50,,1,9,8010,slice MARGHERITA,,hEUYr19xoGGAhEs4Kdi8W,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 16:53:27,Manager,,86.00,,,,,PIN,hEUYr19xoGGAhEs4Kdi8W,01-02-2025,
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/01 16:51:53,Manager,31.00,,2,9,8010,Focaccia FILLED 15.5,,LYBlW971VlocaASTdVMjdn,01-02-2025,verkoop
transactie,,Tafel Panca Centro Indoor,2025/02/01 17:11:43,Manager,,31.00,,,,,PIN,LYBlW971VlocaASTdVMjdn,01-02-2025,
item,toegevoegd,Tafel Muretto Indoor,2025/02/01 16:53:54,Manager,6.00,,2,9,8010,Juice/SAP,,qWk4r68BuIgbyrpxw5UWPI,01-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/01 16:53:54,Manager,7.50,,1,9,8010,SALAD di Matilde,,qWk4r68BuIgbyrpxw5UWPI,01-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/01 16:53:54,Manager,19.50,,1,9,8010,Pasta 19.50,,qWk4r68BuIgbyrpxw5UWPI,01-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/01 16:53:54,Manager,17.50,,1,9,8010,Pasta 17.50,,qWk4r68BuIgbyrpxw5UWPI,01-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/01 17:11:59,Manager,1.50,,1,9,8010,sweet no price,,qWk4r68BuIgbyrpxw5UWPI,01-02-2025,verkoop
transactie,,Tafel Muretto Indoor,2025/02/01 17:30:43,Manager,,52.00,,,,,PIN,qWk4r68BuIgbyrpxw5UWPI,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 17:45:01,Manager,7.00,,1,9,8010,SUGO 300gr,,6G2PqI9e8L5FgyWvxbp1fZ,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 17:45:01,Manager,4.00,,1,9,8010,Pasta filled 100gr,,6G2PqI9e8L5FgyWvxbp1fZ,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 17:45:03,Manager,,11.00,,,,,PIN,6G2PqI9e8L5FgyWvxbp1fZ,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 18:55:50,Manager,14.00,,2,9,8010,SUGO 300gr,,DtjVzMsCx6sKrAaXrRrD9K,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 18:55:50,Manager,6.00,,1,9,8010,SUGO Speciale 150g,,DtjVzMsCx6sKrAaXrRrD9K,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 18:55:52,Manager,,20.00,,,,,PIN,DtjVzMsCx6sKrAaXrRrD9K,01-02-2025,
item,toegevoegd,Directe verkoop,2025/02/01 20:02:23,Manager,10.00,,1,0,8012,tip,,MCpiHgBHBjWVj5QwW2aH3Q,01-02-2025,verkoop
transactie,,Directe verkoop,2025/02/01 20:02:23,Manager,,10.00,,,,,PIN,MCpiHgBHBjWVj5QwW2aH3Q,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/02 11:51:32,Manager,9.00,,2,9,8010,Veggie S 4.5,,HuBIVeHlYgCpZ3iBhxNLTO,02-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/02 11:51:32,Manager,11.00,,1,9,8010,SUGO SPECIALE 300gr,,HuBIVeHlYgCpZ3iBhxNLTO,02-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/02 11:51:33,Manager,,20.00,,,,,PIN,HuBIVeHlYgCpZ3iBhxNLTO,02-02-2025,
item,toegevoegd,Tafel 5,2025/02/02 12:04:42,Manager,4.00,,1,9,8010,Double espresso,,61V7BvPz7P29nmUxkBD5ru,02-02-2025,verkoop
item,toegevoegd,Tafel 5,2025/02/02 12:04:42,Manager,7.00,,2,9,8010,slice FOCACCIA,,61V7BvPz7P29nmUxkBD5ru,02-02-2025,verkoop
item,gecorrigeerd,Tafel 5,2025/02/02 12:04:55,Manager,-4.00,,-1,9,8010,Double espresso,,61V7BvPz7P29nmUxkBD5ru,02-02-2025,verkoop
item,gecorrigeerd,Tafel 5,2025/02/02 12:04:55,Manager,-7.00,,-2,9,8010,slice FOCACCIA,,61V7BvPz7P29nmUxkBD5ru,02-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/02 12:05:01,Manager,7.00,,2,9,8010,slice FOCACCIA,,DRjfW6aOTOJJBxk4fTbtQC,02-02-2025,verkoop
