ACTIE,TYPE,TAFEL,DATUM,MEDEWERKER,DEBIT,CREDIT,AANTAL,BTW,BOEK,PRODUCT,TRANSACTIE,BESTELID,DAY,AFGEREKEND
transactie,,Tafel Counter 2,2025/02/07 17:21:28,Manager,,19.50,,,,,PIN,c71Pro6XBkhnuR3M7L9Ikj,07-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/07 17:26:23,Manager,35.00,,2,9,8010,Pasta 17.50,,fZjtyZpXKt1i3YxVbt4xp,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 17:26:23,Manager,16.00,,1,9,8010,PASTA 16,,fZjtyZpXKt1i3YxVbt4xp,07-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/07 18:05:00,Manager,,51.00,,,,,PIN,fZjtyZpXKt1i3YxVbt4xp,07-02-2025,
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 17:32:58,Manager,6.00,,2,9,8010,Can,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 17:32:58,Manager,2.50,,1,9,8010,Tea/American Coffe,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 17:32:58,Manager,7.00,,1,9,8010,Focaccia FILLED 7,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 17:32:58,Manager,6.00,,1,9,8010,Focaccia FILLED 6,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
item,gecorrigeerd,Tafel Muretto Indoor,2025/02/07 17:47:24,Manager,-3.00,,-1,9,8010,Can,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 17:47:40,Manager,7.00,,2,9,8010,slice FOCACCIA,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 17:57:42,Manager,14.00,,2,9,8010,Torta 7,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 17:57:42,Manager,6.00,,1,9,8010,MEAT BALLS,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 17:57:42,Manager,3.00,,1,9,8010,second no price,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 17:57:42,Manager,8.00,,2,9,8010,Pasta filled 100gr,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 17:58:36,Manager,5.00,,2,9,8010,Pasta Fresca 100gr,,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,verkoop
transactie,,Tafel Muretto Indoor,2025/02/07 17:59:50,Manager,,61.50,,,,,PIN,VUWR89Kc9GMCNTaLsCYGWK,07-02-2025,
item,toegevoegd,Tafel Counter 2,2025/02/07 17:47:34,Manager,3.00,,1,9,8010,Can,,Qzmd8leWMtglUoBTA18Ix6,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 2,2025/02/07 17:47:34,Manager,3.50,,1,9,8010,slice FOCACCIA,,Qzmd8leWMtglUoBTA18Ix6,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 2,2025/02/07 18:00:33,Manager,4.50,,1,9,8010,Veggie S 4.5,,Qzmd8leWMtglUoBTA18Ix6,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 2,2025/02/07 18:00:33,Manager,16.50,,1,9,8010,MEAT Food Second,,Qzmd8leWMtglUoBTA18Ix6,07-02-2025,verkoop
transactie,,Tafel Counter 2,2025/02/07 18:01:51,Manager,,27.50,,,,,PIN,Qzmd8leWMtglUoBTA18Ix6,07-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/07 18:10:05,Manager,8.00,,2,9,8010,Pasta filled 100gr,,uyWLS8DFEiTZXEzURHwSF,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 18:10:05,Manager,10.00,,2,9,8010,PESTO 125,,uyWLS8DFEiTZXEzURHwSF,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 18:10:05,Manager,11.00,,1,9,8010,SUGO SPECIALE 300gr,,uyWLS8DFEiTZXEzURHwSF,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 18:10:05,Manager,6.50,,1,21,8011,Gl PROSECCO,,uyWLS8DFEiTZXEzURHwSF,07-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/07 18:10:48,Manager,,35.50,,,,,PIN,uyWLS8DFEiTZXEzURHwSF,07-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/07 18:21:33,Manager,4.00,,1,9,8010,SUGO Normale 150g,,Bj4eOY19NWrWliUJ6NHg,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 18:21:33,Manager,11.00,,1,9,8010,SUGO SPECIALE 300gr,,Bj4eOY19NWrWliUJ6NHg,07-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/07 18:22:17,Manager,,15.00,,,,,PIN,Bj4eOY19NWrWliUJ6NHg,07-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/07 18:45:18,Manager,5.00,,2,9,8010,Pasta Fresca 100gr,,cfy7ZYHfXlqhVfsg2W7yfP,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 18:45:18,Manager,8.00,,2,9,8010,Pasta filled 100gr,,cfy7ZYHfXlqhVfsg2W7yfP,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 18:45:18,Manager,14.00,,2,9,8010,Torta 7,,cfy7ZYHfXlqhVfsg2W7yfP,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 18:45:18,Manager,22.00,,2,9,8010,SUGO SPECIALE 300gr,,cfy7ZYHfXlqhVfsg2W7yfP,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 18:45:18,Manager,3.50,,1,9,8010,slice FOCACCIA,,cfy7ZYHfXlqhVfsg2W7yfP,07-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/07 18:53:36,Manager,,52.50,,,,,PIN,cfy7ZYHfXlqhVfsg2W7yfP,07-02-2025,
item,toegevoegd,Tafel Bar Indoor,2025/02/07 18:56:10,Manager,64.00,,2,21,8011,btl BARBERA Asti,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/07 18:56:10,Manager,4.50,,1,9,8010,Water 750,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/07 18:56:10,Manager,24.50,,1,9,8010,Antipasto Double,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/07 18:56:10,Manager,36.00,,1,9,8010,Tagliere Double,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/07 20:00:29,Manager,32.00,,1,21,8011,btl BARBERA Asti,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/07 20:01:33,Manager,12.00,,2,9,8010,SALAD di Casa,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/07 20:01:33,Manager,51.00,,3,9,8010,Pasta 17,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/07 20:01:33,Manager,37.00,,2,9,8010,PASTA 18.50,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/07 20:01:33,Manager,17.50,,1,9,8010,Pasta 17.50,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/07 20:26:56,Manager,42.00,,6,9,8010,Torta 7,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/07 20:26:56,Manager,4.50,,1,9,8010,Torta 4.5,,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,verkoop
transactie,,Tafel Bar Indoor,2025/02/07 21:12:29,Manager,,325.00,,,,,PIN,fQuAOIHY6zkrdliNdeoxdz,07-02-2025,
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/07 18:57:37,Manager,29.50,,1,21,8011,btl VERDICCHIO,,ThWATzDhFoWwL3PktcEkRK,07-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/07 18:57:37,Manager,6.50,,1,9,8010,Focaccia FILLED 6.5,,ThWATzDhFoWwL3PktcEkRK,07-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/07 18:57:37,Manager,18.00,,1,9,8010,PASTA 18,,ThWATzDhFoWwL3PktcEkRK,07-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/07 18:57:37,Manager,17.50,,1,9,8010,Pasta 17.50,,ThWATzDhFoWwL3PktcEkRK,07-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/07 19:14:29,Manager,7.00,,1,9,8010,Torta 7,,ThWATzDhFoWwL3PktcEkRK,07-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/07 19:14:29,Manager,4.50,,1,9,8010,Torta 4.5,,ThWATzDhFoWwL3PktcEkRK,07-02-2025,verkoop
transactie,,Tafel Panca 1 Indoor,2025/02/07 20:10:17,Manager,,83.00,,,,,PIN,ThWATzDhFoWwL3PktcEkRK,07-02-2025,
item,toegevoegd,Tafel Vetrina Indoor,2025/02/07 18:59:10,Manager,12.00,,4,9,8010,Can,,pXSgrQRwnBp7bIkdoRMX8p,07-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/07 18:59:10,Manager,55.50,,3,9,8010,PASTA 18.50,,pXSgrQRwnBp7bIkdoRMX8p,07-02-2025,verkoop
transactie,,Tafel Vetrina Indoor,2025/02/07 19:18:27,Manager,,67.50,,,,,PIN,pXSgrQRwnBp7bIkdoRMX8p,07-02-2025,
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 19:14:22,Manager,3.50,,1,9,8010,slice FOCACCIA,,j3agXD3aRjUqx4KZPwtvkO,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 19:42:35,Manager,9.00,,2,9,8010,Beer 0,,j3agXD3aRjUqx4KZPwtvkO,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 19:42:35,Manager,14.50,,1,9,8010,Antipasto Single,,j3agXD3aRjUqx4KZPwtvkO,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 19:42:35,Manager,7.50,,1,9,8010,SALAD di Matilde,,j3agXD3aRjUqx4KZPwtvkO,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 19:42:35,Manager,17.00,,1,9,8010,Pasta 17,,j3agXD3aRjUqx4KZPwtvkO,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 19:42:35,Manager,19.50,,1,9,8010,Pasta 19.50,,j3agXD3aRjUqx4KZPwtvkO,07-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/07 20:00:24,Manager,4.50,,1,9,8010,Torta 4.5,,j3agXD3aRjUqx4KZPwtvkO,07-02-2025,verkoop
transactie,,Tafel Muretto Indoor,2025/02/07 20:10:58,Manager,,75.50,,,,,PIN,j3agXD3aRjUqx4KZPwtvkO,07-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/07 19:27:45,Manager,7.00,,1,9,8010,Torta 7,,WA1QxFBMYoxLGikuGIpnV,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 19:27:45,Manager,6.00,,1,9,8010,SUGO Speciale 150g,,WA1QxFBMYoxLGikuGIpnV,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 19:27:45,Manager,8.00,,2,9,8010,SUGO Normale 150g,,WA1QxFBMYoxLGikuGIpnV,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 19:27:45,Manager,5.00,,2,9,8010,Pasta Fresca 100gr,,WA1QxFBMYoxLGikuGIpnV,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 19:27:45,Manager,3.50,,1,9,8010,slice FOCACCIA,,WA1QxFBMYoxLGikuGIpnV,07-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/07 19:28:14,Manager,,29.50,,,,,PIN,WA1QxFBMYoxLGikuGIpnV,07-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/07 19:58:27,Manager,12.00,,2,9,8010,MEAT BALLS,,8TzFdPxMa2vPGVSf8M3OhL,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 19:58:27,Manager,3.50,,1,9,8010,slice FOCACCIA,,8TzFdPxMa2vPGVSf8M3OhL,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 19:58:27,Manager,16.50,,1,9,8010,MEAT Food Second,,8TzFdPxMa2vPGVSf8M3OhL,07-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/07 19:58:27,Manager,6.00,,1,9,8010,Veggie M 6,,8TzFdPxMa2vPGVSf8M3OhL,07-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/07 20:01:59,Manager,,38.00,,,,,PIN,8TzFdPxMa2vPGVSf8M3OhL,07-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/07 20:04:19,Manager,14.00,,2,9,8010,Torta 7,,KhNLgvnAnxO8OWL4kCjgW,07-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/07 20:04:43,Manager,,14.00,,,,,PIN,KhNLgvnAnxO8OWL4kCjgW,07-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/07 21:09:29,Manager,8.70,,1,21,8011,Gl BARBERA Asti,,BlGi9SdZbonlDwikuSOL9w,07-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/07 21:12:28,Manager,,8.70,,,,,PIN,BlGi9SdZbonlDwikuSOL9w,07-02-2025,
item,toegevoegd,Directe verkoop,2025/02/07 21:24:23,Manager,30.50,,1,0,8012,tip,,ahJcKT5MJ3163gX8SKCEF1,07-02-2025,verkoop
transactie,,Directe verkoop,2025/02/07 21:24:23,Manager,,30.50,,,,,PIN,ahJcKT5MJ3163gX8SKCEF1,07-02-2025,
item,toegevoegd,Directe verkoop,2025/02/08 11:07:33,Manager,7.50,,3,9,8010,Pasta Fresca 100gr,,G8xtGz2AmTkfHxz91NQR,08-02-2025,verkoop
item,toegevoegd,Directe verkoop,2025/02/08 11:07:33,Manager,1.30,,1,9,8010,Pasta Fresca 50gr,,G8xtGz2AmTkfHxz91NQR,08-02-2025,verkoop
item,toegevoegd,Directe verkoop,2025/02/08 11:07:33,Manager,10.50,,3,9,8010,slice FOCACCIA,,G8xtGz2AmTkfHxz91NQR,08-02-2025,verkoop
transactie,,Directe verkoop,2025/02/08 11:07:33,Manager,,19.30,,,,,PIN,G8xtGz2AmTkfHxz91NQR,08-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/08 11:48:03,Manager,14.00,,4,9,8010,slice FOCACCIA,,4lvC3tqS7UnDSEj2VusVT1,08-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/08 11:48:05,Manager,,14.00,,,,,PIN,4lvC3tqS7UnDSEj2VusVT1,08-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/08 11:53:49,Manager,2.50,,1,9,8010,Pasta Fresca 100gr,,o7JDiyxzINo5LtSWiVHBZ5,08-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/08 11:53:49,Manager,5.00,,1,9,8010,PESTO 125,,o7JDiyxzINo5LtSWiVHBZ5,08-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/08 11:53:51,Manager,,7.50,,,,,PIN,o7JDiyxzINo5LtSWiVHBZ5,08-02-2025,
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 12:06:13,Manager,4.50,,1,9,8010,Water 750,,LdttBpWhPpBCrgKtGyXSLV,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 12:06:13,Manager,3.00,,1,9,8010,Can,,LdttBpWhPpBCrgKtGyXSLV,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 12:06:13,Manager,7.00,,2,9,8010,Cappuccino/Latte Macchiato,,LdttBpWhPpBCrgKtGyXSLV,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 12:06:13,Manager,3.00,,1,9,8010,Juice/SAP,,LdttBpWhPpBCrgKtGyXSLV,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 12:06:13,Manager,6.00,,1,9,8010,Pasta Kid TOMATO,,LdttBpWhPpBCrgKtGyXSLV,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 12:06:13,Manager,16.00,,1,9,8010,PASTA 16,,LdttBpWhPpBCrgKtGyXSLV,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 12:06:13,Manager,15.00,,1,9,8010,PASTA 15,,LdttBpWhPpBCrgKtGyXSLV,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 12:06:13,Manager,17.00,,1,9,8010,Pasta 17,,LdttBpWhPpBCrgKtGyXSLV,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 12:06:13,Manager,7.00,,1,9,8010,Focaccia FILLED 7,,LdttBpWhPpBCrgKtGyXSLV,08-02-2025,verkoop
transactie,,Tafel Panca Centro Indoor,2025/02/08 12:42:51,Manager,,78.50,,,,,PIN,LdttBpWhPpBCrgKtGyXSLV,08-02-2025,
item,toegevoegd,Tafel Bar Indoor,2025/02/08 12:40:15,Manager,19.00,,2,21,8011,Gl GEWURZTRAMINER,,H6Z9ZHnKWukVwQLiN5wCuK,08-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/08 12:40:15,Manager,34.00,,1,9,8010,Lunch Double,,H6Z9ZHnKWukVwQLiN5wCuK,08-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/08 12:54:57,Manager,4.50,,1,9,8010,Torta 4.5,,H6Z9ZHnKWukVwQLiN5wCuK,08-02-2025,verkoop
transactie,,Tafel Bar Indoor,2025/02/08 13:14:42,Manager,,57.50,,,,,PIN,H6Z9ZHnKWukVwQLiN5wCuK,08-02-2025,
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/08 13:05:26,Manager,4.50,,1,9,8010,Water 750,,UIUou36xTNI8yO9BDiQoTT,08-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/08 13:05:26,Manager,3.50,,1,9,8010,slice FOCACCIA,,UIUou36xTNI8yO9BDiQoTT,08-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/08 13:05:26,Manager,18.00,,1,9,8010,PASTA 18,,UIUou36xTNI8yO9BDiQoTT,08-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/08 13:05:26,Manager,18.50,,1,9,8010,PASTA 18.50,,UIUou36xTNI8yO9BDiQoTT,08-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/08 13:32:02,Manager,7.00,,2,9,8010,slice FOCACCIA,,UIUou36xTNI8yO9BDiQoTT,08-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/08 13:32:02,Manager,24.00,,6,9,8010,Pasta filled 100gr,,UIUou36xTNI8yO9BDiQoTT,08-02-2025,verkoop
transactie,,Tafel Panca 1 Indoor,2025/02/08 13:32:36,Manager,,75.50,,,,,PIN,UIUou36xTNI8yO9BDiQoTT,08-02-2025,
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 13:14:57,Manager,4.00,,1,9,8010,Chinotto,,omOC4sLVV3HpNz6Hd6rnJl,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 13:14:57,Manager,6.00,,1,9,8010,Pasta Kid TOMATO,,omOC4sLVV3HpNz6Hd6rnJl,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 13:14:57,Manager,9.50,,1,9,8010,Focaccia FILLED 9.5,,omOC4sLVV3HpNz6Hd6rnJl,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 13:45:05,Manager,7.00,,1,9,8010,Torta 7,,omOC4sLVV3HpNz6Hd6rnJl,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 13:45:05,Manager,2.50,,1,9,8010,Tea/American Coffe,,omOC4sLVV3HpNz6Hd6rnJl,08-02-2025,verkoop
transactie,,Tafel Panca Centro Indoor,2025/02/08 13:51:47,Manager,,29.00,,,,,PIN,omOC4sLVV3HpNz6Hd6rnJl,08-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/08 13:48:26,Manager,4.00,,1,9,8010,Pasta filled 100gr,,pfl42FdtdVVpCwQKXIwvYP,08-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/08 13:48:26,Manager,7.00,,1,9,8010,Torta 7,,pfl42FdtdVVpCwQKXIwvYP,08-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/08 13:48:26,Manager,6.00,,1,9,8010,Veggie M 6,,pfl42FdtdVVpCwQKXIwvYP,08-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/08 13:48:27,Manager,,17.00,,,,,PIN,pfl42FdtdVVpCwQKXIwvYP,08-02-2025,
item,toegevoegd,Tafel Bar Indoor,2025/02/08 13:49:07,Manager,7.00,,1,21,8011,Glass Rosso Dolomiti,,VBzHhKqX1cihpej9rBkrWG,08-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/08 13:49:07,Manager,10.00,,1,9,8010,CAPRESE,,VBzHhKqX1cihpej9rBkrWG,08-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/08 13:49:07,Manager,17.50,,1,9,8010,Pasta 17.50,,VBzHhKqX1cihpej9rBkrWG,08-02-2025,verkoop
item,toegevoegd,Tafel Bar Indoor,2025/02/08 13:49:07,Manager,8.50,,1,9,8010,Focaccia FILLED 8.5,,VBzHhKqX1cihpej9rBkrWG,08-02-2025,verkoop
transactie,,Tafel Bar Indoor,2025/02/08 14:35:49,Manager,,43.00,,,,,PIN,VBzHhKqX1cihpej9rBkrWG,08-02-2025,
item,toegevoegd,Tafel Muretto Indoor,2025/02/08 13:49:39,Manager,7.60,,1,21,8011,Gl GRIGNOLINO,,EKLZVOfKcngJvqKKwvxhA,08-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/08 13:49:39,Manager,8.70,,1,21,8011,Gl BARBERA Asti,,EKLZVOfKcngJvqKKwvxhA,08-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/08 13:49:39,Manager,18.50,,1,9,8010,PASTA 18.50,,EKLZVOfKcngJvqKKwvxhA,08-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/08 13:49:39,Manager,12.00,,1,9,8010,Focaccia FILLED 12,,EKLZVOfKcngJvqKKwvxhA,08-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/08 14:03:45,Manager,8.70,,1,21,8011,Gl BARBERA Asti,,EKLZVOfKcngJvqKKwvxhA,08-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/08 14:03:45,Manager,7.60,,1,21,8011,Gl GRIGNOLINO,,EKLZVOfKcngJvqKKwvxhA,08-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/08 14:44:09,Manager,4.60,,2,9,8010,Coffee/Espresso,,EKLZVOfKcngJvqKKwvxhA,08-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/08 14:53:43,Manager,2.30,,1,9,8010,Coffee/Espresso,,EKLZVOfKcngJvqKKwvxhA,08-02-2025,verkoop
item,toegevoegd,Tafel Muretto Indoor,2025/02/08 14:53:43,Manager,2.30,,1,9,8010,Coffee/Espresso,,EKLZVOfKcngJvqKKwvxhA,08-02-2025,verkoop
transactie,,Tafel Muretto Indoor,2025/02/08 14:55:17,Manager,,72.30,,,,,PIN,EKLZVOfKcngJvqKKwvxhA,08-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/08 14:22:14,Manager,100.00,,1,9,8010,sweet no price,,Lk2Vjnd423wyAeDI8R76LW,08-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/08 14:34:11,Manager,,100.00,,,,,PIN,Lk2Vjnd423wyAeDI8R76LW,08-02-2025,
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 14:22:33,Manager,7.00,,1,21,8011,Glass Rosso Dolomiti,,7GQeXe5DHJ1ZTLTd5POLNn,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 14:22:33,Manager,13.00,,1,9,8010,PASTA 13,,7GQeXe5DHJ1ZTLTd5POLNn,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 14:43:47,Manager,3.50,,1,9,8010,slice FOCACCIA,,7GQeXe5DHJ1ZTLTd5POLNn,08-02-2025,verkoop
item,toegevoegd,Tafel Panca Centro Indoor,2025/02/08 14:43:47,Manager,10.00,,1,9,8010,SUGO 500gr,,7GQeXe5DHJ1ZTLTd5POLNn,08-02-2025,verkoop
transactie,,Tafel Panca Centro Indoor,2025/02/08 14:43:47,Manager,,33.50,,,,,PIN,7GQeXe5DHJ1ZTLTd5POLNn,08-02-2025,
item,toegevoegd,Tafel Counter 2,2025/02/08 14:26:25,Manager,10.00,,1,9,8010,SUGO 500gr,,DfqPjQkeTGC7fvbxuUZVTK,08-02-2025,verkoop
transactie,,Tafel Counter 2,2025/02/08 14:26:26,Manager,,10.00,,,,,PIN,DfqPjQkeTGC7fvbxuUZVTK,08-02-2025,
item,toegevoegd,Tafel Vetrina Indoor,2025/02/08 14:54:23,Manager,3.00,,1,9,8010,Latte,,wi21KXJ8K7zdQksRrhvTLd,08-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/08 14:54:23,Manager,7.00,,1,21,8011,Glass Rosso Dolomiti,,wi21KXJ8K7zdQksRrhvTLd,08-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/08 14:54:23,Manager,12.00,,1,9,8010,PASTA 12,,wi21KXJ8K7zdQksRrhvTLd,08-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/08 14:54:23,Manager,17.50,,1,9,8010,Pasta 17.50,,wi21KXJ8K7zdQksRrhvTLd,08-02-2025,verkoop
item,toegevoegd,Tafel Vetrina Indoor,2025/02/08 14:54:23,Manager,18.00,,1,9,8010,PASTA 18,,wi21KXJ8K7zdQksRrhvTLd,08-02-2025,verkoop
transactie,,Tafel Vetrina Indoor,2025/02/08 15:26:10,Manager,,57.50,,,,,PIN,wi21KXJ8K7zdQksRrhvTLd,08-02-2025,
